task,method,seed,regret_auc,final_best,final_top50,final_top10pct
emass_min,dkl_cold_live,5,1.4388587880142483,-1.4980987198169655,16,20
emass_min,dkl_cold_live,6,0.8193446993983846,-2.7985215224949846,21,27
emass_min,dkl_cold_live,7,0.07970267701147563,-2.7985215224949846,17,21
emass_min,dkl_cold_live,8,1.3698431894657852,-1.4980987198169655,14,19
emass_min,dkl_cold_live,9,1.7317681760342254,-1.9876555344978155,13,19
emass_min,dkl_cold_live,10,1.5029599500833684,-1.4980987198169655,13,17
emass_min,dkl_cold_live,11,1.4909192576573802,-2.7985215224949846,10,13
emass_min,dkl_cold_live,12,1.6095494022479817,-1.5080763518312088,9,12
emass_min,dkl_cold_live,13,0.9625407249450789,-1.9876555344978155,19,25
emass_min,dkl_cold_live,14,0.8230648321653611,-1.9876555344978155,16,20
emass_min,dkl_cold_live,15,1.6370648756468011,-1.4980987198169655,10,13
emass_min,dkl_cold_live,16,1.2748314205409763,-1.9876555344978155,21,27
emass_min,dkl_cold_live,17,1.071904586197794,-1.9876555344978155,14,18
emass_min,dkl_cold_live,18,1.1012440889918869,-1.9876555344978155,17,23
emass_min,dkl_cold_live,19,0.9076888563974203,-1.9876555344978155,12,17
emass_min,dkl_cold_live,20,1.6862642426377619,-1.1324266978998243,5,11
emass_min,dkl_cold_live,21,1.505988774978001,-1.4980987198169655,14,18
emass_min,dkl_cold_live,22,1.456058046939499,-1.4980987198169655,14,18
emass_min,dkl_cold_live,23,1.1467772387420387,-2.7985215224949846,15,16
emass_min,dkl_cold_live,24,1.4250205104273368,-1.4980987198169655,17,22
emass_min,dkl_cold_live,25,1.3460786071707491,-1.9876555344978155,19,29
emass_min,dkl_cold_live,26,1.7366189951650441,-1.2199206038560078,11,18
emass_min,dkl_cold_live,27,0.7341567223403124,-2.7985215224949846,18,21
emass_min,dkl_cold_live,28,1.3379022988553373,-1.9876555344978155,15,19
emass_min,dkl_cold_live,29,0.4421982764223131,-2.7985215224949846,16,18
emass_min,dkl_finetune,0,1.5587960992633554,-1.5080763518312088,17,23
emass_min,dkl_finetune,1,1.7773055674489178,-1.1019858541764167,13,18
emass_min,dkl_finetune,2,1.334638315600399,-2.7985215224949846,12,20
emass_min,dkl_finetune,3,0.38713355119913273,-2.7985215224949846,16,20
emass_min,dkl_finetune,4,0.9886418894944197,-1.9876555344978155,20,25
emass_min,dkl_finetune,5,1.0371427800408899,-1.9876555344978155,18,21
emass_min,dkl_finetune,6,1.318843204347682,-1.4980987198169655,10,12
emass_min,dkl_finetune,7,0.17268913352486387,-2.7985215224949846,16,21
emass_min,dkl_finetune,8,1.3871982861627268,-1.4980987198169655,14,17
emass_min,dkl_finetune,9,1.594350867564476,-1.4980987198169655,21,25
emass_min,dkl_finetune,10,1.2390581332010198,-2.7985215224949846,20,24
emass_min,dkl_finetune,11,1.4208397248961213,-1.4980987198169655,13,16
emass_min,dkl_finetune,12,0.9147669668352075,-2.7985215224949846,16,21
emass_min,dkl_finetune,13,0.6007142478238251,-2.7985215224949846,18,26
emass_min,dkl_finetune,14,0.8718602088381278,-1.9876555344978155,19,23
emass_min,dkl_finetune,15,0.9908100116767387,-2.7985215224949846,15,19
emass_min,dkl_finetune,16,1.2555462286218266,-1.9876555344978155,20,24
emass_min,dkl_finetune,17,1.4828230625178145,-1.4980987198169655,15,20
emass_min,dkl_finetune,18,1.3486751520651774,-1.4980987198169655,17,22
